PA01-14;ALIZEE NATURE CARAIBES;2929/29;PUR;O;Serum coup d'eclat, aux actifs vitaminés, sébo-régulateurs et tenseurs, aux pépin de pamplemousse et kigéline;2;Non irritant;0,048
PA01-14;FRANCE LAB;2978/1;PUR;O;Lait corps  my little beauty;2;Non irritant;0
PA01-14;FRANCE LAB pour SERENITY;2964/1;PUR;O;Crème hydratante - S-9001-002;2;Non irritant;0
PA01-14;LABORATOIRE DELON INC.;2974/1;PUR;O;Coiff&Co. Huile Intense Serum;2;Non irritant;0
PA01-14;LABORATOIRE DELON INC.;2974/4;PUR;O;Saint-Algue Sublime Argan Body Butter Nutrition Intense;2;Non irritant;0
PA01-14;LABORATOIRE DELON INC.;2974/6;PUR;O;Saint-Algue Sublime Argan Huile;2;Non irritant;0
PA01-15;C2J EVOLUDERM;15047/02;PUR;O;Huile sèche;2;Non irritant;0,05
PA01-15;C2J EVOLUDERM;15047/04;PUR;O;Huile de massage;2;Légèrement irritant;0,25
PA01-16;EVOLUDERM;16404/06;PUR;O;Lait corps huile dargan et beurre de karité V15271;2;Légèrement irritant;0,273
PA01-16;EVOLUDERM;16408/04;PUR;O;Lait corps hydratant beurre de karité et l'ait d'amande douce - V15267;2;Très légèrement irritant;0,091
PA01-16;GILBERT;16392/02;PUR;O;Crème mains réf 3380-1.10 ;2;Très légèrement irritant;0,091
PA02-13;ECOLE ISIPCA;2861/2;PUR;O;Lune équatoriale soin visage - Réf. : SV-190213-31;2;Non irritant;0
PA02-13;PERRON RIGOT;2865/2;PUR;O;LAIT RALENTISSEUR DE POUSSE DE POILS - LAI 750 003, LAI 750 002;2;Non irritant;0
PA02-13;SAVOIRS DES PEUPLES;2863/1;PUR;O;SdP001 (Oolution) - Sérum matifiant 12340.;2;Non irritant;0,048
PA02-13;SAVOIRS DES PEUPLES;2869/1;PUR;O;Huile Radiance -13057;2;Non irritant;0
PA02-14;ILAPHARM;2977/1;PUR;O;Gel articulations;2;Non irritant;0
PA02-14;LABORATOIRE DELON INC.;2974/5;PUR;O;Saint-Algue Sublime Argan Soin Nutrition Absolue;2;Non irritant;0,045
PA02-14;SAVOIRS DES PEUPLES;2976/1;PUR;O;Perles de la plus belle eau;2;Non irritant;0,045
PA02-14;UNIPAR;2960/1;PUR;O;crème moelleuse;2;Non irritant;0
PA02-15;BCM;14935/04;PUR;O;Moisturizing gel;2;Légèrement irritant;0,217
PA02-16;PERRON RIGOT;16530/04;PUR;O;HUILE PRE ET POST EPILATION, parfumée au jasmin (aux huiles d’avocat et de coton) 200591126 / 200591130 / 200591127 / ;2;Non irritant;0
PA03-12;ALIZEE NATURE CARAIBES;2724/7;PUR;O;Huile de massage cèdre-patchouli HMCP1;2;Non irritant;0
PA03-13;AYSSE;2890/2;PUR;O;SERUM AFFINANT VISAGE - E-1300-021;2;Très légèrement irritant;0,105
PA03-14;FRANCE LAB PARASHOP;3005/1;PUR;O;crème hyd;2;Très légèrement irritant;0,136
PA03-14;FRANCE LAB PARASHOP;3005/2;PUR;O;serum hyd;2;Très légèrement irritant;0,091
PA03-14;ROVAL;14251/01;PUR;O;crème mains;2;Non irritant;0
PA03-14;ROVAL;14251/02;PUR;O;crème universelle;2;Non irritant;0
PA03-14;WWM;3003/1;PUR;O;Soin Anti-âge ;2;Non irritant;0,091
PA03-14;WWM;3003/2;PUR;O;Soin Peaux sèches;2;Très légèrement irritant;0,136
PA03-14;WWM;3003/3;PUR;O;Soin Peaux Grasses;2;Légèrement irritant;0,364
